date,SPX unhedged,single 30d 30-delta,ladder 30/60/90 50-delta,ladder 30/60/90 30-delta,ladder 30/60/90 10-delta,ladder 30/60/90 5-delta
2006-03-22,1.0,1.0,1.0,1.0,1.0,1.0
2006-03-23,0.9974177036719183,0.9974177036719183,0.9974177036719183,0.9974177036719183,0.9974177036719183,0.9974177036719183
2006-03-24,0.9983985165205664,0.9983985165205664,0.9983985165205664,0.9983985165205664,0.9983985165205664,0.9983985165205664
2006-03-27,0.9973717280696378,0.9973717280696378,0.9973717280696378,0.9973717280696378,0.9973717280696378,0.9973717280696378
2006-03-28,0.9909504689511434,0.9909504689511434,0.9909504689511434,0.9909504689511434,0.9909504689511434,0.9909504689511434
2006-03-29,0.9983525409182863,0.9983525409182863,0.9983525409182863,0.9983525409182863,0.9983525409182863,0.9983525409182863
2006-03-30,0.9963296144179489,0.9963296144179489,0.9963296144179489,0.9963296144179489,0.9963296144179489,0.9963296144179489
2006-03-31,0.9921764850119537,0.9921764850119537,0.9921764850119537,0.9921764850119537,0.9921764850119537,0.9921764850119537
2006-04-03,0.9944599399252131,0.9944599399252131,0.9944599399252131,0.9944599399252131,0.9944599399252131,0.9944599399252131
2006-04-04,1.000681971433826,1.000681971433826,1.000681971433826,1.000681971433826,1.000681971433826,1.000681971433826
2006-04-05,1.0049960154478024,1.0049960154478024,1.0049960154478024,1.0049960154478024,1.0049960154478024,1.0049960154478024
2006-04-06,1.003065040152026,1.003065040152026,1.003065040152026,1.003065040152026,1.003065040152026,1.003065040152026
2006-04-07,0.992689879237418,0.992689879237418,0.992689879237418,0.992689879237418,0.992689879237418,0.992689879237418
2006-04-10,0.9935327652792252,0.9935327652792252,0.9935327652792252,0.9935327652792252,0.9935327652792252,0.9935327652792252
2006-04-11,0.98584717709802,0.98584717709802,0.98584717709802,0.98584717709802,0.98584717709802,0.98584717709802
2006-04-12,0.98703488015693,0.98703488015693,0.98703488015693,0.98703488015693,0.98703488015693,0.98703488015693
2006-04-13,0.9878011401949366,0.9878011401949366,0.9878011401949366,0.9878011401949366,0.9878011401949366,0.9878011401949366
2006-04-17,0.984897014650892,0.984897014650892,0.984897014650892,0.984897014650892,0.984897014650892,0.984897014650892
2006-04-18,1.0019999386991971,1.0019999386991971,1.0019999386991971,1.0019999386991971,1.0019999386991971,1.0019999386991971
2006-04-19,1.0037470115858518,1.0037470115858518,1.0037470115858518,1.0037470115858518,1.0037470115858518,1.0037470115858518
2006-04-20,1.0049193894440018,1.0049193894440018,1.0049193894440018,1.0049193894440018,1.0049193894440018,1.0049193894440018
2006-04-21,1.0047814626371605,1.0047814626371605,1.0047814626371605,1.0047814626371605,1.0047814626371605,1.0047814626371605
2006-04-24,1.0023524183166799,1.0023524183166799,1.0023524183166799,1.0023524183166799,1.0023524183166799,1.0023524183166799
2006-04-25,0.9974713418745786,0.9974713418745786,0.9974713418745786,0.9974713418745786,0.9974713418745786,0.9974713418745786
2006-04-26,1.0002835162140626,1.0002835162140626,1.0002835162140626,1.0002835162140626,1.0002835162140626,1.0002835162140626
2006-04-27,1.0035860969778705,1.0035860969778705,1.0035860969778705,1.0035860969778705,1.0035860969778705,1.0035860969778705
2006-04-28,1.0042680684116962,1.0042680684116962,1.0042680684116962,1.0042680684116962,1.0042680684116962,1.0042680684116962
2006-05-01,1.0001149390057011,1.0001149390057011,1.0001149390057011,1.0001149390057011,1.0001149390057011,1.0001149390057011
2006-05-02,1.0062603445105132,1.0062603445105132,1.0062603445105132,1.0062603445105132,1.0062603445105132,1.0062603445105132
2006-05-03,1.0021531907067984,1.0021531907067984,1.0021531907067984,1.0021531907067984,1.0021531907067984,1.0021531907067984
2006-05-04,1.0055247348740268,1.0055247348740268,1.0055247348740268,1.0055247348740268,1.0055247348740268,1.0055247348740268
2006-05-05,1.0158769079874947,1.0158769079874947,1.0158769079874947,1.0158769079874947,1.0158769079874947,1.0158769079874947
2006-05-08,1.0150340219456875,1.0150340219456875,1.0150340219456875,1.0150340219456875,1.0150340219456875,1.0150340219456875
2006-05-09,1.0154018267639306,1.0154018267639306,1.0154018267639306,1.0154018267639306,1.0154018267639306,1.0154018267639306
2006-05-10,1.0136470912768958,1.0136470912768958,1.0136470912768958,1.0136470912768958,1.0136470912768958,1.0136470912768958
2006-05-11,1.0006743088334458,1.0006743088334458,1.0006743088334458,1.0006743088334458,1.0006743088334458,1.0006743088334458
2006-05-12,0.9894256114755103,0.9894256114755103,0.9894256114755103,0.9894256114755103,0.9894256114755103,0.9894256114755103
2006-05-15,0.9919236191994116,0.9919236191994116,0.9919236191994116,0.9919236191994116,0.9919236191994116,0.9919236191994116
2006-05-16,0.9900692699074358,0.9900692699074358,0.9900692699074358,0.9900692699074358,0.9900692699074358,0.9900692699074358
2006-05-17,0.9733954514804145,0.9733954514804145,0.9733954514804145,0.9733954514804145,0.9733954514804145,0.9733954514804145
2006-05-18,0.9668745785569791,0.9668745785569791,0.9668745785569791,0.9668745785569791,0.9668745785569791,0.9668745785569791
2006-05-19,0.9708744559553731,0.9708744559553731,0.9708744559553731,0.9708744559553731,0.9708744559553731,0.9708744559553731
2006-05-22,0.9670738061668609,0.9670738061668609,0.9670738061668609,0.9670738061668609,0.9670738061668609,0.9670738061668609
2006-05-23,0.9628670385582051,0.9628670385582051,0.9628670385582051,0.9628670385582051,0.9628670385582051,0.9628670385582051
2006-05-24,0.9643918960338381,0.9643918960338381,0.9643918960338381,0.9643918960338381,0.9643918960338381,0.9643918960338381
2006-05-25,0.9753570771777111,0.9753570771777111,0.9753570771777111,0.9753570771777111,0.9753570771777111,0.9753570771777111
2006-05-26,0.9809354502543984,0.9809354502543984,0.9809354502543984,0.9809354502543984,0.9809354502543984,0.9809354502543984
2006-05-30,0.9653650462821063,0.9653650462821063,0.9653650462821063,0.9653650462821063,0.9653650462821063,0.9653650462821063
2006-05-31,0.9732192116716729,0.9732192116716729,0.9732192116716729,0.9732192116716729,0.9732192116716729,0.9732192116716729
2006-06-01,0.9851881934653345,0.9851881934653345,0.9851881934653345,0.9851881934653345,0.9851881934653345,0.9851881934653345
2006-06-02,0.9871115061607307,0.9871115061607307,0.9871115061607307,0.9871115061607307,0.9871115061607307,0.9871115061607307
2006-06-05,0.9695411634892417,0.9695411634892417,0.9695411634892417,0.9695411634892417,0.9695411634892417,0.9695411634892417
2006-06-06,0.9684377490345124,0.9684377490345124,0.9684377490345124,0.9684377490345124,0.9684377490345124,0.9684377490345124
2006-06-07,0.9625375467418624,0.9625375467418624,0.9625375467418624,0.9625375467418624,0.9625375467418624,0.9625375467418624
2006-06-08,0.9639014896095139,0.9639014896095139,0.9639014896095139,0.9639014896095139,0.9639014896095139,0.9639014896095139
2006-06-09,0.9595874455955373,0.9595874455955373,0.9595874455955373,0.9595874455955373,0.9595874455955373,0.9595874455955373
2006-06-12,0.9474039109912341,0.9474039109912341,0.9474039109912341,0.9474039109912341,0.9474039109912341,0.9474039109912341
